                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.05849,                0.12792,                0.75596,                0.99598,                      1,                  0.995,                0.88581,                0.58285,                0.42785,                 1.0005,              0.0005348,              0.0005348,              0.0005348
                     76,                0.06032,                0.12559,                0.75924,                 0.9961,                      1,                  0.995,                0.88552,                0.57765,                0.43074,                0.99659,               0.000515,               0.000515,               0.000515
                     77,                0.05901,                0.12391,                0.76015,                0.99567,                      1,                  0.995,                0.88147,                0.58117,                0.43443,                0.99563,              0.0004952,              0.0004952,              0.0004952
                     78,                0.05907,                0.12615,                0.75973,                0.99571,                      1,                  0.995,                0.88583,                0.58682,                0.43595,                 1.0012,              0.0004754,              0.0004754,              0.0004754
                     79,                0.05937,                0.12672,                0.76161,                0.99622,                      1,                  0.995,                0.88564,                0.57875,                0.43133,                 0.9956,              0.0004556,              0.0004556,              0.0004556
                     80,                0.05666,                0.11868,                0.76073,                0.99624,                      1,                  0.995,                0.88097,                0.58277,                0.43073,                0.99436,              0.0004358,              0.0004358,              0.0004358
                     81,                0.05739,                0.12107,                0.75872,                0.99635,                      1,                  0.995,                0.87481,                0.58748,                 0.4368,                0.99856,               0.000416,               0.000416,               0.000416
                     82,                0.05316,                0.11606,                0.75885,                0.99637,                      1,                  0.995,                 0.8763,                0.58494,                0.43234,                0.99955,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.0506,                0.11756,                0.75791,                0.99645,                      1,                  0.995,                 0.8763,                0.58199,                0.43292,                0.99879,              0.0003764,              0.0003764,              0.0003764
                     84,                0.05021,                0.11407,                0.75756,                0.99631,                      1,                  0.995,                0.87647,                0.58284,                0.43493,                0.99974,              0.0003566,              0.0003566,              0.0003566
                     85,                0.04769,                0.11127,                0.75756,                0.99661,                      1,                  0.995,                0.88053,                0.58424,                0.43559,                0.99897,              0.0003368,              0.0003368,              0.0003368
                     86,                0.04757,                0.11239,                0.75821,                0.99661,                      1,                  0.995,                0.88261,                0.58303,                0.42855,                0.99808,               0.000317,               0.000317,               0.000317
                     87,                0.04552,                0.10956,                0.75543,                0.99664,                      1,                  0.995,                0.88959,                0.58155,                0.42397,                0.99851,              0.0002972,              0.0002972,              0.0002972
                     88,                0.04568,                0.10916,                 0.7573,                0.99679,                      1,                  0.995,                0.88561,                0.58172,                0.42126,                0.99904,              0.0002774,              0.0002774,              0.0002774
